HARPN.2015-06-02T21-21-57.928_V1.9_ccf_K5 1.00789e+06 1003.94 8598.47 92.728
HARPN.2015-06-02T21-52-22.970_V1.9_ccf_K5 903913.0 950.744 9455.25 97.2381
HARPN.2015-06-03T21-42-36.515_V1.9_ccf_K5 1.17038e+06 1081.84 5099.19 71.4086
HARPN.2015-06-03T22-13-01.237_V1.9_ccf_K5 1.28853e+06 1135.14 6370.59 79.816
HARPN.2015-06-04T21-17-14.547_V1.9_ccf_K5 549070.0 740.992 1802.35 42.4541
HARPN.2015-06-04T21-47-39.604_V1.9_ccf_K5 564918.0 751.61 2441.47 49.4112
HARPN.2015-06-06T21-09-56.716_ccf_K5 514369.0 717.195 1730.96 41.6048
HARPN.2015-06-06T21-41-49.439_ccf_K5 439238.0 662.75 1316.97 36.2901
HARPN.2015-06-07T21-28-27.306_ccf_K5 1.41328e+06 1188.82 688.297 26.2354
HARPN.2015-06-07T21-58-51.659_ccf_K5 1.46547e+06 1210.57 760.519 27.5775
HARPN.2015-06-08T21-14-54.785_ccf_K5 855634.0 925.005 1464.68 38.2712
HARPN.2015-06-08T21-45-19.525_ccf_K5 709991.0 842.61 1386.97 37.2421
HARPN.2015-06-11T21-14-25.417_ccf_K5 1.21366e+06 1101.66 1521.43 39.0055
HARPN.2015-06-11T21-44-50.475_ccf_K5 1.10399e+06 1050.71 1157.69 34.0248
HARPN.2015-06-12T21-11-37.529_ccf_K5 696574.0 834.61 2265.87 47.6011
HARPN.2015-06-14T21-15-45.969_ccf_K5 1.46573e+06 1210.67 1475.72 38.4151
HARPN.2015-06-15T21-17-04.419_ccf_K5 533143.0 730.166 1723.01 41.5091
HARPN.2015-06-15T21-47-29.071_ccf_K5 373076.0 610.8 2040.41 45.1709
HARPN.2015-06-16T21-10-57.008_ccf_K5 452856.0 672.946 2867.39 53.5481
HARPN.2015-06-16T21-41-21.747_ccf_K5 382187.0 618.212 1734.7 41.6498
HARPN.2015-06-17T21-12-55.057_ccf_K5 1.53023e+06 1237.02 2097.9 45.8028
HARPN.2015-06-17T21-43-20.110_ccf_K5 1.61666e+06 1271.48 760.548 27.578
HARPN.2015-06-18T21-13-30.778_ccf_K5 1.23927e+06 1113.23 2001.92 44.7428
HARPN.2015-06-18T21-43-55.430_ccf_K5 1.34632e+06 1160.31 666.047 25.8079
HARPN.2015-06-19T21-18-29.190_ccf_K5 1.44358e+06 1201.49 1811.28 42.5591
HARPN.2015-06-19T21-48-53.845_ccf_K5 1.36363e+06 1167.75 1316.34 36.2814
HARPN.2015-06-29T21-08-01.425_V1.9_ccf_K5 583645.0 763.967 12815.9 113.207
HARPN.2015-06-30T21-11-22.183_V1.9_ccf_K5 418017.0 646.542 12818.9 113.22
HARPN.2015-12-23T04-58-08.851_ccf_K5 1.30654e+06 1143.04 3191.55 56.4938
HARPN.2015-12-23T05-28-34.716_ccf_K5 1.18233e+06 1087.35 1481.74 38.4934
HARPN.2015-12-24T05-19-47.063_ccf_K5 1.00634e+06 1003.17 5044.79 71.0267
HARPN.2015-12-24T05-50-12.503_ccf_K5 954987.0 977.234 4157.37 64.4776
HARPN.2015-12-25T05-57-58.220_ccf_K5 443687.0 666.099 7413.99 86.1045
HARPN.2015-12-25T06-28-22.652_ccf_K5 341270.0 584.183 6599.37 81.2365
HARPN.2015-12-28T05-05-33.805_ccf_K5 876543.0 936.239 6291.97 79.322
HARPN.2015-12-28T05-35-59.263_ccf_K5 793242.0 890.641 6331.46 79.5705
HARPN.2015-12-29T05-03-25.668_ccf_K5 743951.0 862.526 5528.95 74.3569
HARPN.2015-12-29T05-33-50.720_ccf_K5 831310.0 911.762 5150.13 71.7644
HARPN.2016-01-03T04-43-57.085_V1.9_ccf_K5 691169.0 831.366 2372.18 48.7051
HARPN.2016-01-03T05-14-22.943_V1.9_ccf_K5 859589.0 927.14 2236.65 47.2932
HARPN.2016-01-04T04-22-09.289_V1.9_ccf_K5 613480.0 783.249 2756.9 52.5062
HARPN.2016-01-04T05-59-43.542_V1.9_ccf_K5 802617.0 895.889 2210.67 47.0177
HARPN.2016-01-20T02-59-06.870_ccf_K5 876242.0 936.078 3603.0 60.025
HARPN.2016-01-20T03-29-32.338_ccf_K5 963386.0 981.522 3150.7 56.1311
HARPN.2016-01-21T02-20-48.214_ccf_K5 779512.0 882.9 5085.25 71.311
HARPN.2016-01-21T02-51-14.476_ccf_K5 599091.0 774.01 4528.69 67.2956
HARPN.2016-01-25T04-43-11.867_ccf_K5 509019.0 713.456 10052.2 100.261
HARPN.2016-01-25T05-13-38.128_ccf_K5 561882.0 749.588 10037.7 100.188
HARPN.2016-01-26T04-33-07.838_ccf_K5 383046.0 618.907 8914.47 94.4165
HARPN.2016-01-26T05-03-32.503_ccf_K5 249904.0 499.904 9099.79 95.3928
HARPN.2016-02-03T04-15-13.935_ccf_K5 412611.0 642.348 2294.32 47.8991
HARPN.2016-02-03T04-45-39.393_ccf_K5 541189.0 735.656 2215.48 47.0689
HARPN.2016-02-04T04-48-59.651_ccf_K5 985557.0 992.752 1709.05 41.3406
HARPN.2016-02-04T05-19-25.499_ccf_K5 1.22947e+06 1108.82 1731.81 41.615
HARPN.2016-02-14T02-11-11.017_ccf_K5 815514.0 903.058 1897.69 43.5625
HARPN.2016-02-14T02-41-36.064_ccf_K5 728638.0 853.603 1996.06 44.6773
HARPN.2016-02-15T04-24-53.197_ccf_K5 736337.0 858.101 2255.96 47.4969
HARPN.2016-02-15T04-55-18.251_ccf_K5 543965.0 737.54 1713.18 41.3906
